"Nummer","Datum","Art","Geschäft","URL","Date"
"559/2008","27.05.2008","kleine_anfrage","Anfrage Nr. 559 des Ratsmitgliedes Simone Michel betreffend Zweckmässigkeitsbeurteilung des Vorprojekts zum kantonalen Strassenprojekt ""Uster West""","https://www.uster.ch/politbusiness/69963?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=104","2008-05-27"
"Antwort 549/2008","20.05.2008","Bericht und Antrag","Antwort des Stadtrates auf die Anfrage Nr. 549 des Ratsmitgliedes Werner Kessler betreffend Bauverbots-Dienstbarkeit (Servitut) auf dem kantonalen Grundstück der Schifflände","https://www.uster.ch/politbusiness/69499?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=104","2008-05-20"
"Antwort 548/2008","20.05.2008","Bericht und Antrag","Antwort des Stadtrates auf die Antrage Nr. 548 des Ratsmitgliedes Werner Kessler betreffend Grundwasserschutzbestimmungen und Schrotthaufen an der Schifflände in Niederuster","https://www.uster.ch/politbusiness/69497?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=104","2008-05-20"
"Antwort 550/2008","20.05.2008","Bericht und Antrag","Antwort des Stadtrates auf die Anfrage Nr. 550 des Ratsmitgliedes Werner Kessler betreffend Darlehen von Fr. 90'000 der Stadt Uster an den Verein Pavillon Nouvel","https://www.uster.ch/politbusiness/69500?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=105","2008-05-20"
"218/2008","13.05.2008","Bericht und Antrag","Antrag des Stadtrates betreffend Sportzentrum Buchholz - Erstellen eins Kunstrasenfeldes ausserhalb des Fussball- und Leichtathletikstadions - Kreditbewilligung","https://www.uster.ch/politbusiness/69077?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=105","2008-05-13"
"215","06.05.2008","Antrag","Antrage des Stadtrates betreffend Genehmigung Kaufvertrag zwischen Stadt Uster und der Winterthur Leben Aktiengesellschaft","https://www.uster.ch/politbusiness/71057?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=105","2008-05-06"
"216","06.05.2008","Antrag","Antrag des Stadtrates betreffend Genehmigung Kaufvertrag zischen der Stadt Uster und der Immoturicum AG, mit Sitz in Wetzikon","https://www.uster.ch/politbusiness/71058?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=105","2008-05-06"
"Antwort545","15.04.2008","Bericht und Antrag","Antwort des Stadtrates auf die Anfrage Nr. 545 des Ratsmitgliedes Regula Trüeb Murbach betreffend Personal-Fluktuation in der Primarschulverwaltung","https://www.uster.ch/politbusiness/67594?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=105","2008-04-15"
"556/2008","14.04.2008","Postulat","Postulat Nr. 556 des Ratsmitgliedes Benno Scherrer Moser betreffend Uster wird Energiestadt GOLD","https://www.uster.ch/politbusiness/67595?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=105","2008-04-14"
"204/2008","08.04.2008","Bericht und Antrag","Antrag des Stadtrates betreffend Zeughaus Uster: Kreditgenehmigung Basisausstattung Gebäude K","https://www.uster.ch/politbusiness/67383?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=105","2008-04-08"
"203/2008","01.04.2008","Bericht und Antrag","Antrag des Stadtrates betreffend Zweckverband Kehrrichtverwertung Zürcher Oberland KEZO, Wahl eines Ersatzdelegierten für den Rest der Amtsdauer 2006/2010","https://www.uster.ch/politbusiness/66899?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=105","2008-04-01"
"202/2008","01.04.2008","Bericht und Antrag","Antrag des Stadtrates betreffend Zweckverband Spital Uster, Wahl eines Ersatzdelegierten für den Rest der Amtsdauer 2006/2010","https://www.uster.ch/politbusiness/66898?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=105","2008-04-01"
"Antwort534/2008","25.03.2008","Bericht und Antrag","Antwort des Stadtrates auf das Postulat Nr. 534 des Ratsmitgliedes Werner Hürlimann betreffend Radweg nach Freudwil","https://www.uster.ch/politbusiness/66599?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=106","2008-03-25"
"Antwort538/2008","25.03.2008","Bericht und Antrag","Antwort des Stadtrates auf das Postulat Nr. 538 des Ratsmitgliedes Simone Michel betreffend Wassersparmassnahmen","https://www.uster.ch/politbusiness/66600?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=106","2008-03-25"
"553/2008","21.03.2008","Postulat","Postulat Nr. 553 des Ratsmitgliedes Daniel Hunziker betreffend Mehrweggeschirr an öffentlichen Anlässen","https://www.uster.ch/politbusiness/66602?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=106","2008-03-21"
"554/2008","21.03.2008","Interpellation","Interpellation Nr. 554 des Ratsmitgliedes Daniel Hunziker betreffend Littering","https://www.uster.ch/politbusiness/66604?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=106","2008-03-21"
"Antwort 543/2008","11.03.2008","Bericht und Antrag","Antwort des Stadtrates auf die Antrage Nr. 543 des Ratsmitgliedes Werner Egli betreffend Zeughaus Uster - quo vadis?","https://www.uster.ch/politbusiness/65985?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=106","2008-03-11"
